frame,frame_ms,terrain_ms,spaceship_ms,launchpad_ms,viewA_ms,viewB_ms,cpuRender_ms,cpuFrame_ms
1,16.6595,2.15859,0.001024,0.0256,2.18829,0,15.7809,15.8134
2,17.5442,2.16781,0.001024,0.0256,2.1975,0.001024,16.6047,16.6361
0,16.1935,2.15859,0,0.024576,2.18726,0.001024,16.7457,16.7606
1,16.3615,2.15859,0.001024,0.0256,2.18829,0.001024,16.9142,16.9352
2,16.7526,2.16781,0.001024,0.0256,2.1975,0.001024,16.2285,16.2509
0,16.4721,2.16166,0.001024,0.0256,2.19341,0.001024,16.7703,16.796
1,16.7526,2.16269,0.001024,0.0256,2.19238,0.001024,16.5071,16.5495
2,16.9533,2.15962,0.001024,0.024576,2.18931,0,16.53,16.548
0,16.2775,2.16166,0,0.024576,2.19034,0.001024,16.9021,16.9178
1,17.3312,2.15757,0.001024,0.0256,2.18726,0.001024,16.3277,16.3473
2,18.2999,2.15859,0.001024,0.0256,2.18829,0.001024,17.19,17.2109
0,15.3774,2.16064,0.001024,0.0256,2.18931,0.001024,18.2166,18.2636
1,15.8689,2.16371,0.001024,0.0256,2.19341,0.001024,15.2213,15.2488
2,16.7045,2.91942,0.004096,0.031744,2.95936,0.001024,15.2827,15.3083
0,16.8827,2.90714,0.004096,0.029696,2.94502,0,16.576,16.6011
1,16.5161,2.92454,0.00512,0.031744,2.96653,0.001024,16.8438,16.8603
2,18.2723,2.91635,0.00512,0.032768,2.95936,0.001024,16.5965,16.6103
0,15.3436,2.91021,0.00512,0.029696,2.94707,0.001024,18.0669,18.0825
1,17.1674,2.90202,0.004096,0.031744,2.94195,0.001024,15.4567,15.4768
2,16.0215,2.90099,0.00512,0.031744,2.94195,0.001024,17.1324,17.1513
0,17.2421,2.90611,0.004096,0.03072,2.94502,0.001024,15.8751,15.8957
1,16.4854,2.91226,0.004096,0.032768,2.95322,0.001024,17.2848,17.3061
2,16.383,2.90509,0.00512,0.032768,2.94707,0.001024,16.3771,16.3944
0,16.5253,2.91328,0.003072,0.031744,2.95219,0.001024,13.567,13.5857
1,17.3896,2.91021,0.006144,0.031744,2.95219,0.001024,16.5436,16.5746
2,16.6738,2.90202,0.00512,0.031744,2.944,0.001024,17.0177,17.0454
0,15.7819,2.90304,0.004096,0.032768,2.94502,0.001024,16.5371,16.5611
1,16.7434,2.89894,0.00512,0.029696,2.93888,0,15.6244,15.7127
2,16.4936,2.90304,0.003072,0.031744,2.94195,0,16.7267,16.7432
0,18.0101,2.89997,0.006144,0.031744,2.94093,0.001024,16.5521,16.5669
1,16.1065,2.89997,0.00512,0.029696,2.93888,0,17.8551,17.8722
2,16.5939,2.90509,0.004096,0.03072,2.94502,0.001024,16.171,16.1941
0,16.9544,2.90406,0.003072,0.031744,2.944,0.001024,16.3239,16.3439
1,15.5576,2.89587,0.004096,0.031744,2.93683,0,17.101,17.1232
2,16.7332,2.8887,0.004096,0.031744,2.92762,0.001024,15.5388,15.5778
0,18.1494,2.89485,0.00512,0.028672,2.93274,0.001024,16.6474,16.6691
1,16.3205,2.88973,0.003072,0.031744,2.92864,0,18.0843,18.1164
2,16.386,2.88768,0.004096,0.029696,2.92659,0,16.255,16.2901
0,16.8468,2.8969,0.00512,0.032768,2.93888,0.001024,16.3915,16.4238
1,17.1694,2.89178,0.00512,0.029696,2.93171,0.001024,16.6522,16.6894
2,16.2253,2.89997,0.004096,0.032768,2.94195,0,17.1113,17.1467
0,16.1065,2.8969,0.008192,0.026624,2.93683,0.001024,16.1934,16.2304
1,16.0072,2.90611,0.00512,0.03072,2.94605,0.001024,16.083,16.1131
2,16.7127,2.90611,0.003072,0.03072,2.944,0.001024,15.9247,15.9575
0,16.5396,2.89587,0.006144,0.031744,2.93786,0.001024,16.812,16.8428
1,17.4705,2.8928,0.004096,0.03072,2.93171,0.001024,16.4595,16.4901
2,16.7383,2.89075,0.00512,0.03072,2.92966,0.001024,17.2405,17.2658
0,17.0598,2.90099,0.004096,0.029696,2.9399,0.001024,16.6652,16.7021
1,16.6584,2.90509,0.004096,0.031744,2.94502,0,17.3267,17.3495
2,15.7747,2.89485,0.004096,0.029696,2.93376,0,16.2761,16.3104
0,17.4182,2.90202,0.004096,0.03072,2.93888,0.001024,15.7717,15.7932
1,15.6488,2.90304,0.00512,0.032768,2.94502,0,17.3518,17.371
2,16.5468,2.88768,0.00512,0.031744,2.92966,0.001024,15.6218,15.6411
0,17.5596,2.89997,0.004096,0.031744,2.94195,0,16.4889,16.5073
1,17.0895,2.89997,0.00512,0.029696,2.93888,0.001024,17.4909,17.5105
2,16.5386,2.89587,0.003072,0.03072,2.93376,0.001024,17.0318,17.0764
0,16.8202,2.90509,0.002048,0.031744,2.94195,0.001024,16.4728,16.4995
1,16.8684,2.89587,0.004096,0.03072,2.93478,0.001024,16.7195,16.7432
2,16.6973,2.89075,0.003072,0.031744,2.92966,0,16.8065,16.8418
0,16.4239,2.8969,0.003072,0.032768,2.93683,0.001024,16.6021,16.6303
1,15.5515,2.89587,0.00512,0.029696,2.93581,0.001024,16.4148,16.451
